Task,Test,VerbalDescription,Rule_correct,Rule_correct_label
AboveBelow1.json,1,draw the box above the horizontal line and i follow the Task demonstration,-1.0,Nonresponsive
AboveBelow1.json,1,"There will be a solid or dotted line across the entire screen in an opposing color, simply drop all shapes below that line, keep colors and grid size the same",1.0,Correct - Intended
AboveBelow1.json,1,Use the same grid size as in the input. Copy all objects above horizontal line and copy horizontal line (keep all colors the same).,1.0,Correct - Intended
AboveBelow1.json,1,Use the same grid size as in the input. There will be multiple objects separated by a horizontal object that will be of a different color to the rest of the objects. Please modify every object under this horizontal object to the color black.  ,1.0,Correct - Intended
AboveBelow1.json,1,Copy the input from the demontration screen. Remove all shapes from beneath the horizontal line shape.,1.0,Correct - Intended
AboveBelow1.json,1,"Use exact grid dimensions as demonstration/input. Determine which objects are above the line (the single row of grid squares, either all connected, or alternating) cutting across the entire grid. Only keep those objects which are above the line. Recreate the line exactly as it appears in the demonstration/input in your solution. Recreate exact copies of only those objects above the line in your solution, keeping their dimensions, color, and shape. Place them in the exact same location as the input in your solution.",1.0,Correct - Intended
AboveBelow1.json,1,"The rule is to remove all of the shapes that are underneath the row that goes across (in this case, the yellow row). To do this, copy the original grid from input and then select 'flood fill'. Then select the black color and click on any purple square in all 3 of the large purple shapes underneath the yellow row. This should turn every square on the bottom of the yellow row black.",1.0,Correct - Intended
AboveBelow1.json,1,Use the same grid size as in the input. And input the line and object above the line. keep it's color the same,1.0,Correct - Intended
AboveBelow1.json,2,so there should be 2 sets of blocks seperated by a line. you just copy from grid and then delete whatever is below the line.,1.0,Correct - Intended
AboveBelow1.json,2,"The grid size should match the input. There is a dividing line, and everything above the dividing line should be preserved, and everything below the dividing line should be deleted/filled in with black squares.",1.0,Correct - Intended
AboveBelow1.json,2,"Use the 'copy from input' tool to copy the input and grid dimensions. There should be a horizontal line drawn, which may be a complete line or a broken line. You should only keep the shapes drawn above this line. If there are shapes below this line, change the squares to black to remove them.",1.0,Correct - Intended
AboveBelow1.json,2,copied everything above the last row,0.0,Incorrect
AboveBelow1.json,2,"Using the same sized grid, remove anything under the line. If the underside is already empty, leave as is. ",1.0,Correct - Intended
AboveBelow1.json,2,"first copy the puzzle to your solution. for any shape below the center coloured line, remove them and fill in black colour",1.0,Correct - Intended
AboveBelow1.json,2,copy from the input grid finish,0.0,Incorrect
AboveBelow1.json,3,down shape only fill,-2.0,Unclear
AboveBelow1.json,3,Choose 'Copy from input' button. Choose 'Select' and draw a box that contains all of the cells that are below the horizontal line. Click the black color to erase all cells below the line.,1.0,Correct - Intended
AboveBelow1.json,3,"Make the grid the same size as the original. Draw the line/dotted line in the same colour and position. Pick the area from the original that has the lease boxes coloured in from either above or below the line and copy the shape and colour of that side of the line, leaving the other side blank.",0.0,Incorrect
AboveBelow1.json,3,Copy grid size. Remove all shapes below the solid or dotted line.,1.0,Correct - Intended
AboveBelow1.json,3,You may see some shapes/blocks in one colour and also a 'line' in a different colour. You need to keep the same grid size and keep the 'line' however get rid of everything of everything below the line'. Everything above the line AND the line stays untouched. Everything below the 'line' needs to be removed,1.0,Correct - Intended
AboveBelow10.json,1,Set the dimensions of the grid to the exact specifications that are available to you. We must fill in the diagonal with the slight off red color. The rule here is to fill in every pixel that is facing away from the diagonal that we filled in the beginning with the same color which in our case was slight off red.,-2.0,Unclear
AboveBelow10.json,1,There is a zigzag line in the input grid. Flood the squares beneath it the same color it is.,1.0,Correct - Intended
AboveBelow10.json,1,Use the fill tool of the same color as the diagonal and fill the right side of it.,-3.0,Literal
AboveBelow10.json,1,"Make your grid the same size.  Using the same colour, put in the line and then fill in to the side of it in the same colour.  Choose the side with the most blocks.",0.0,Incorrect
AboveBelow10.json,1,"With the same size grid, using the input as a fence, fill the left side of the line (same colour) if line goes from top left to bottom right, and fill the right side if opposite. ",1.0,Correct - Intended
AboveBelow10.json,1,"This is a fill rule, it fills the area between the line and the edges.  So copy the input, select the same colour as the line, and then pick a black square that is below the line and let it fill the rest.

(the same question came up as previously answered, and was accepted immediately as I submit, once on this screen the task demonstration then jumped in, so this was written without actually doing the test to understand the rule)",1.0,Correct - Intended
AboveBelow10.json,2,You want to fill in the blocks underneath the staircase shape to the same color as the squares that you are shown. ,1.0,Correct - Intended
AboveBelow10.json,2,Use a grid of the same size and copy over the colored tiles while also feeling the empty black squares directly below those tiles with the same color.,1.0,Correct - Intended
AboveBelow10.json,2,"Copy the original grid with all details as is. Identify the diagonal line. Using the same color as the line, fill in all cells below the line.",1.0,Correct - Intended
AboveBelow10.json,2,Copy the size of the grid from the input. The solution is to fill in all the boxes from beneath the diagonal line that is created. Keep the colour the same (pink),1.0,Correct - Intended
AboveBelow10.json,2,"copy the size of the grid. copy the original shape in the original colour. from left to right fill the blocks under the shape the same colour. if the same is running up, fill the remaining grid on the right of the shape the same colour.",1.0,Correct - Intended
AboveBelow10.json,2,Keep the grid size and color the same. If the current pattern is facing sw from the first row fill in the colors from left to right. If the object is facing north west fill in the colors right to left. This should look like a stair case in both directions.,-2.0,Unclear
AboveBelow10.json,2,Ensure the black grid is the same size as the input.  Fill all squares under the diagonal line the same colour as the line.  Leave not black blocks under the line.,1.0,Correct - Intended
AboveBelow10.json,2,Make the grid the same height and width as the original. Copy the shape using the same color and location as the original. Then use the same color to fill in to the lower corner to create a solid triangularish block.,1.0,Correct - Intended
AboveBelow10.json,3,"Copy the grid exactly from the input. Fill in all the space under the shape with the color of the shape. There should be no black space under the shape, and the original shape should not be altered.",1.0,Correct - Intended
AboveBelow10.json,3,Keep the same sized grid. Copy the task shape exactly. Keep its colour the same. Then shade in (in the same colour) all the area below that shape.,1.0,Correct - Intended
AboveBelow10.json,3,'Flood Fill' the grid below the line,1.0,Correct - Intended
AboveBelow10.json,3,"copy the exact same grid. 
The grid will be separated into two sections by a single line. 
Fill in the section that touches the bottom part of the grid using the same colour. ",0.0,Incorrect
AboveBelow10.json,3,Keep grid and colors the same . Take the line created by the cubes and fill in all the cubes below it with the same color as the line .,1.0,Correct - Intended
AboveBelow10.json,3,color underneath whatever pattern it is.,1.0,Correct - Intended
AboveBelow2.json,1,"Use the same grid as the input grid. There will be several objects in the grid but only one greed object. All objects above the top of the green object will need to be removed. Copy the location, size and shape of the green object and all objects below the top line of the green object to the grid. ",1.0,Correct - Intended
AboveBelow2.json,2,Copy from input. Remove all blocks that are to the north of the green block.,1.0,Correct - Intended
AboveBelow2.json,2,Remove any figure that is above the green square.,1.0,Correct - Intended
AboveBelow2.json,2,Use the same grid size as the input. Keep only the bottom squares.,0.0,Incorrect
AboveBelow2.json,2,"Keep grid size the same as the input. There will be many shapes in the input. Replicate the shapes that are lower down (same size, colour and position).",0.0,Incorrect
AboveBelow2.json,2,"Use the same size grid as the original. Add any green objects that appeared in the original, in the same size and position on the grid. Remove all objects that appear above the top of the green object, and colour the cells black. Retain all objects that appear at or below the green object, in the same size and position.",1.0,Correct - Intended
AboveBelow2.json,2,A particular object was given preference above the other,-2.0,Unclear
AboveBelow2.json,2,"Recreate the grid size. Copy the image (same colours), but remove any squares that are above the green square in the image.",1.0,Correct - Intended
AboveBelow3.json,1,,-1.0,Nonresponsive
AboveBelow3.json,1,"Take the top shape, and move it down to right above the second shape. ",1.0,Correct - Intended
AboveBelow3.json,1,i imagined as the upper object falling on the lower one,1.0,Correct - Intended
AboveBelow3.json,1,"Copy the input grid. The topmost row of colours on the design need to be ""shifted"" down so they they fit on top of the square or rectangle below it. ",1.0,Correct - Intended
AboveBelow3.json,1,"Copy the input grid. Find the upmost row of coloured squares, and ""shift"" them down so that they fit on top of the square or rectangle below it. ",1.0,Correct - Intended
AboveBelow3.json,1,Copy test grid and shift line shape at the top of the grid down until it rests on top of the square shape.,1.0,Correct - Intended
AboveBelow3.json,1,"Copy the pattern and grid dimensions from the example. The only change needed is to move the isolated pattern at the top to slot on top of the middle pattern with no black cells between, deleted where the original top pattern was.",1.0,Correct - Intended
AboveBelow3.json,2,Copy the input. Move the top color line down to sit on top of the square. ,1.0,Correct - Intended
AboveBelow3.json,2,"grid size equals the same as input
copy the input
shift the topmost object down until it hits another object
black out the original topmost object",1.0,Correct - Intended
AboveBelow3.json,2,"There should be a solid center block, and above and below that block, lines of the same colored blocks. Do not mess with the blocks below the center block. If the line of blocks above the center block are touching the center block, move it up one line. If there is a space between the top line of blocks and the center block, move them down so that they are touching. ",0.0,Incorrect
AboveBelow3.json,2,join the 1st color to second color,-2.0,Unclear
AboveBelow3.json,2,"Resize the grid to 9 by 9, copy the shapes onto the grid and move the blue blocks down one block.",-3.0,Literal
AboveBelow3.json,2,"same grid size as input. Reproduce same image as input. Top half of image has a line separated from a colored box. Move the line down 1 or more squares, until it touches the colored box with no black gaps in between the box and the line. Leave rest of image alone.",1.0,Correct - Intended
AboveBelow3.json,2,Copy image over and keep colors the same. What you want to do is to lower the top piece to sit on top of the square object. Keep all other objects the same.,1.0,Correct - Intended
AboveBelow3.json,2,"Use the same size grid as original, recreate all the shapes apart from the one closest to the top in their original position, size and shape. The highest shape on the original should be the same size and shape but moved down as many squares as necessary so that it is contact with the block shape that is the next shape down.
",1.0,Correct - Intended
AboveBelow3.json,2,"I think the rule for this one was to remove the black tiles from inbetween the square shape and the top coloured line or tiles. Therefore, I just moved the top colour line down to that it was directly touching the coloured square in the middle.",1.0,Correct - Intended
AboveBelow3.json,3,,-1.0,Nonresponsive
AboveBelow3.json,3,Bring the horizontal blocks that float above the main figure down to the original main figure.,1.0,Correct - Intended
AboveBelow3.json,3,"Use the same grid size as the input. There will be multiple objects in the input; in your answer, find the topmost (highest) object. In the output, drop that object down in the grid until it is touching the second highest object, basically sitting right on top of it. Then, reproduce the remaining objects from the input, exactly as they are. Keep all colors the same.",1.0,Correct - Intended
AboveBelow3.json,3,"There will be a rectangle, possibly with other lines of another colour attached. There will be one line that is not attached. Press copy from input and then move the detached line so it is now attached to the shape. Keep the colour of this line the same.",0.0,Incorrect
AboveBelow3.json,3,Use the same grid size as in the input. within the test input grid there will be a large shape and a small shape above it. Move the small shape downwards until it touches the large shape. Keep all colors the same as the input.,1.0,Correct - Intended
AboveBelow3.json,3,There will be a square. Directly above the square will be a horizontal line the same width as the square. Move the line down so that it is directly on top of the square. Everything else stays where it is.,1.0,Correct - Intended
AboveBelow3.json,3,Copy the image but drop only the top line down one row. Keep the same colour. ,-3.0,Literal
AboveBelow3.json,3,Translate the entire top most line of the image down in grid spaces until it reaches the next set of coloured grid spaces below.,1.0,Correct - Intended
